casino,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9507_Casino.txt,112641,
citizen kane,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a950d_Citizen_Kane.txt,33467,
detroit rock city,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a951c_Detroit_Rock_City.txt,165710,
dog day afternoon,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a951d_Dog_Day_Afternoon.txt,72890,
donnie brasco,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a951e_Donnie_Brasco.txt,119008,
donnie darko,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a951f_Donnie_Darko.txt,246578,
double indemnity,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9521_Double_Indemnity.txt,36775,
drop dead gorgeous,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9523_Drop_Dead_Gorgeous.txt,157503,
excalibur,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a952d_Excalibur.txt,82348,
forrest gump,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9538_Forrest_Gump.txt,109830,
four rooms,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9539_Four_Rooms.txt,113101,
the graduate,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9548_The_Graduate.txt,61722,
hannah and her sisters,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a954e_Hannah_and_Her_Sisters.txt,91167,
his girl friday,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9558_His_Girl_Friday.txt,32599,
indiana jones and the temple of doom,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9564_Indiana_Jones_and_the_Temple_of_Doom.txt,87469,
the italian job,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9568_The_Italian_Job.txt,317740,
jackie brown,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a956a_Jackie_Brown.txt,119396,
the jackie robinson story,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a956b_The_Jackie_Robinson_Story.txt,42609,
jaws,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a956e_Jaws.txt,73195,
jaws 2,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a956f_Jaws_2.txt,77766,
lost horizon,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9587_Lost_Horizon.txt,29162,
the lost weekend,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9588_The_Lost_Weekend.txt,37884,
the majestic,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a958b_The_Majestic.txt,268995,
man on fire,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a958f_Man_on_Fire.txt,93489,
the naked city,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95a5_The_Naked_City.txt,40636,
the pianist,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95b2_The_Pianist.txt,253474,
the producers,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95b7_The_Producers.txt,63462,
pulp fiction,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95bc_Pulp_Fiction.txt,110912,
reindeer games,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95c3_Reindeer_Games.txt,184858,
saving private ryan,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95c8_Saving_Private_Ryan.txt,120815,
scary movie 2,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95c9_Scary_Movie_2.txt,257106,
seven,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95cf_Seven.txt,114369,
shakespeare in love,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95d2_Shakespeare_in_Love.txt,138097,
sideways,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95d4_Sideways.txt,375063,
silverado,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95d8_Silverado.txt,90022,
slumdog millionaire,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95dc_Slumdog_Millionaire.txt,1010048,1
so i married an axe murderer,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95df_So_I_Married_an_Axe_Murderer.txt,108174,
state and main,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95eb_State_and_Main.txt,120202,
taxi driver,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95f2_Taxi_Driver.txt,75314,
terminator 2  judgment day,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95f4_Terminator_2__Judgment_Day.txt,103064,
the thing,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95f7_The_Thing.txt,84787,
true believer,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a95fd_True_Believer.txt,98524,
very bad things,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9605_Very_Bad_Things.txt,124198,
watchmen,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9607_Watchmen.txt,409459,
young frankenstein,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9615_Young_Frankenstein.txt,72431,
a clockwork orange,agarwal,./data/agarwal2015_screenplays/fail/51e2fe98144cce5b901a9623_A_Clockwork_Orange.txt,66921,
anna karenina,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b09e_Anna_Karenina.txt,1781769,2
argo,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b0a1_Argo.txt,1024648,3
the dark knight rises,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b0c3_The_Dark_Knight_Rises.txt,1345836,1
flight,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b0d5_Flight.txt,1907668,3
les mis rables,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b103_Les_Mis_rables.txt,1707386,3
lincoln,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b105_Lincoln.txt,443272,
looper,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b106_Looper.txt,1276104,1
moonrise kingdom,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b113_Moonrise_Kingdom.txt,1748122,3
prometheus,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b12b_Prometheus.txt,1446714,3
silver linings playbook,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b143_Silver_Linings_Playbook.txt,1045658,3
snow white and the huntsman,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b14b_Snow_White_and_the_Huntsman.txt,1735898,3
ted,agarwal,./data/agarwal2015_screenplays/fail/51e301b71f7f8ee49901b158_Ted.txt,1637725,2
the adjustment bureau,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b17b_The_Adjustment_Bureau.txt,1385826,3
the best exotic marigold hotel,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b195_The_Best_Exotic_Marigold_Hotel.txt,1412386,3
bridesmaids,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b19b_Bridesmaids.txt,1478338,3
cars 2,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1a2_Cars_2.txt,1216475,2
cedar rapids,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1a4_Cedar_Rapids.txt,1477837,1
colombiana,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1a8_Colombiana.txt,1657507,1
cowboys   aliens,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1ae_Cowboys___Aliens.txt,409847,
the descendants,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1b5_The_Descendants.txt,1033575,3
the girl with the dragon tattoo,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1d3_The_Girl_with_the_Dragon_Tattoo.txt,1568346,1
hall pass,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1d8_Hall_Pass.txt,480687,
hanna,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1da_Hanna.txt,993842,
the help,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1e1_The_Help.txt,1454029,3
jane eyre,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b1fa_Jane_Eyre.txt,1229822,3
limitless,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b20c_Limitless.txt,1219289,1
the lincoln lawyer,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b20d_The_Lincoln_Lawyer.txt,1189340,1
margaret,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b210_Margaret.txt,466893,
the mechanic,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b215_The_Mechanic.txt,472399,
moneyball,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b21c_Moneyball.txt,1210166,1
monte carlo,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b21e_Monte_Carlo.txt,1067774,3
my week with marilyn,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b223_My_Week_with_Marilyn.txt,1655420,3
red riding hood,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b23a_Red_Riding_Hood.txt,1486185,3
super 8,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b25b_Super_8.txt,1650062,3
the thing,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b260_The_Thing.txt,84787,
thor,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b263_Thor.txt,800369,
the three musketeers,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b265_The_Three_Musketeers.txt,1509767,2
tinker  tailor  soldier  spy,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b266_Tinker__Tailor__Soldier__Spy.txt,1340800,1
water for elephants,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b276_Water_for_Elephants.txt,1067583,1
burlesque,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b2ad_Burlesque.txt,1126591,3
clash of the titans,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b2bb_Clash_of_the_Titans.txt,800320,
the debt,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b2ca_The_Debt.txt,1226753,3
fair game,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b2e4_Fair_Game.txt,977855,
legion,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b320_Legion.txt,1038686,3
megamind,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b32d_MegaMind.txt,1001526,0
the next three days,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b334_The_Next_Three_Days.txt,1458175,3
the whistleblower,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b394_The_Whistleblower.txt,896872,
2012,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b3a2_2012.txt,1190080,1
an education,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b3b5_An_Education.txt,1174732,3
avatar,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b3bc_Avatar.txt,499549,
the blind side,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b3c2_The_Blind_Side.txt,878804,
broken embraces,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b3cc_Broken_Embraces.txt,913425,
coraline,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b3dc_Coraline.txt,327597,
funny people,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b3fd_Funny_People.txt,1201167,1
g i  joe  the rise of cobra,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b400_G_I__Joe__The_Rise_of_Cobra.txt,1046173,1
gamer,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b401_Gamer.txt,1034032,1
the girl with the dragon tattoo,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b408_The_Girl_with_the_Dragon_Tattoo.txt,1568346,1
the hangover,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b40e_The_Hangover.txt,1119646,1
he s just not that into you,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b412_He_s_Just_Not_That_Into_You.txt,1001508,3
in the loop,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b422_In_the_Loop.txt,1226774,3
the invention of lying,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b427_The_Invention_of_Lying.txt,1058017,2
it s complicated,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b429_It_s_Complicated.txt,1230414,3
jennifer s body,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b42c_Jennifer_s_Body.txt,1131734,3
law abiding citizen,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b432_Law_Abiding_Citizen.txt,1197624,1
the men who stare at goats,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b444_The_Men_Who_Stare_at_Goats.txt,1234548,0
ninja assassin,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b456_Ninja_Assassin.txt,1186367,1
orphan,agarwal,./data/agarwal2015_screenplays/fail/51e301b81f7f8ee49901b45a_Orphan.txt,1148204,3
pandorum,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b45e_Pandorum.txt,1188729,1
public enemies,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b469_Public_Enemies.txt,1152836,1
sherlock holmes,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b474_Sherlock_Holmes.txt,988045,
star trek,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b47b_Star_Trek.txt,796366,
surrogates,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b480_Surrogates.txt,986263,
terminator salvation,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b484_Terminator_Salvation.txt,438488,
whiteout,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b49e_Whiteout.txt,365929,
youth in revolt,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b4a5_Youth_in_Revolt.txt,403702,
the brothers bloom,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b4bf_The_Brothers_Bloom.txt,844286,
changeling,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b4c1_Changeling.txt,824747,
the curious case of benjamin button,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b4ca_The_Curious_Case_of_Benjamin_Button.txt,421715,
deception,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b4d0_Deception.txt,6461812,
eagle eye,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b4d8_Eagle_Eye.txt,1059786,1
marley   me,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b517_Marley___Me.txt,822832,
max payne,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b519_Max_Payne.txt,467197,
the other boleyn girl,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b528_The_Other_Boleyn_Girl.txt,467200,
pineapple express,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b52d_Pineapple_Express.txt,910936,
rachel getting married,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b532_Rachel_Getting_Married.txt,1084950,3
rocknrolla,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b538_RocknRolla.txt,1032755,1
sex and the city,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b53f_Sex_and_the_City.txt,159206,
speed racer,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b543_Speed_Racer.txt,811080,
sunshine cleaning,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b54a_Sunshine_Cleaning.txt,862846,
synecdoche  new york,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b54c_Synecdoche__New_York.txt,383028,
valkyrie,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b557_Valkyrie.txt,985699,
the wrestler,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b566_The_Wrestler.txt,1125849,1
yes man,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b567_Yes_Man.txt,1068680,1
disturbia,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b597_Disturbia.txt,486822,
eastern promises,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b59a_Eastern_Promises.txt,765443,
elizabeth  the golden age,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b59c_Elizabeth__The_Golden_Age.txt,414055,
fracture,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b5a3_Fracture.txt,488120,
into the wild,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b5ba_Into_the_Wild.txt,758758,
next,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b5d5_Next.txt,435705,
superbad,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b5f8_Superbad.txt,829482,
tmnt,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b601_TMNT.txt,453556,
we own the night,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b60d_We_Own_the_Night.txt,498399,
wild hogs,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b610_Wild_Hogs.txt,486946,
crank,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b637_Crank.txt,479884,
the departed,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b63b_The_Departed.txt,407887,
slither,agarwal,./data/agarwal2015_screenplays/fail/51e301b91f7f8ee49901b691_Slither.txt,439815,
brick,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b6b6_Brick.txt,393109,
the hitchhiker s guide to the galaxy,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b6d8_The_Hitchhiker_s_Guide_to_the_Galaxy.txt,371724,
the island,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b6e1_The_Island.txt,399201,
the jacket,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b6e3_The_Jacket.txt,366627,
king kong,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b6e9_King_Kong.txt,360717,
serenity,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b70a_Serenity.txt,379786,
v for vendetta,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b71d_V_for_Vendetta.txt,434409,
catwoman,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b73b_Catwoman.txt,327554,
cellular,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b73c_Cellular.txt,337921,
collateral,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b73f_Collateral.txt,6729080,
harold   kumar go to white castle,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b753_Harold___Kumar_Go_to_White_Castle.txt,366551,
ocean s twelve,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b772_Ocean_s_Twelve.txt,349903,
spanglish,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b786_Spanglish.txt,371246,
the last samurai,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b7c4_The_Last_Samurai.txt,325710,
something s gotta give,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b7e3_Something_s_Gotta_Give.txt,337741,
adaptation,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b7f9_Adaptation.txt,268126,
catch me if you can,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b805_Catch_Me_If_You_Can.txt,264464,
death to smoochy,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b80a_Death_to_Smoochy.txt,266452,
insomnia,agarwal,./data/agarwal2015_screenplays/fail/51e301ba1f7f8ee49901b81d_Insomnia.txt,278504,
go,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b86a_Go.txt,139239,
ocean s eleven,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b88f_Ocean_s_Eleven.txt,240772,
8mm,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b8fc_8mm.txt,134273,
analyze this,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b8fe_Analyze_This.txt,122933,
the green mile,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b915_The_Green_Mile.txt,120689,
magnolia,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b91b_Magnolia.txt,175880,
wild wild west,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b938_Wild_Wild_West.txt,120891,
dark city,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b943_Dark_City.txt,118929,
the truman show,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b97c_The_Truman_Show.txt,120382,
boogie nights,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b98a_Boogie_Nights.txt,118749,
gattaca,agarwal,./data/agarwal2015_screenplays/fail/51e301bb1f7f8ee49901b9a0_Gattaca.txt,119177,
liar liar,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901b9a7_Liar_Liar.txt,119528,
the postman,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901b9b0_The_Postman.txt,119925,
jane eyre,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901b9e4_Jane_Eyre.txt,1229822,3
heat,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901ba1f_Heat.txt,113277,
strange days,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901ba38_Strange_Days.txt,114558,
ed wood,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901ba4f_Ed_Wood.txt,109707,
newsies,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901bac3_Newsies.txt,104990,
sister act,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901bacb_Sister_Act.txt,105417,
the last boy scout,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901bae4_The_Last_Boy_Scout.txt,102266,
robin hood  prince of thieves,agarwal,./data/agarwal2015_screenplays/fail/51e301bc1f7f8ee49901baed_Robin_Hood__Prince_of_Thieves.txt,102798,
darkman,agarwal,./data/agarwal2015_screenplays/fail/51e301bd1f7f8ee49901baff_Darkman.txt,99365,
die hard 2,agarwal,./data/agarwal2015_screenplays/fail/51e301bd1f7f8ee49901bb00_Die_Hard_2.txt,99423,
die hard,agarwal,./data/agarwal2015_screenplays/fail/51e301bd1f7f8ee49901bb4b_Die_Hard.txt,95016,
heathers,agarwal,./data/agarwal2015_screenplays/fail/51e301bd1f7f8ee49901bb4f_Heathers.txt,97493,
twins,agarwal,./data/agarwal2015_screenplays/fail/51e301bd1f7f8ee49901bb60_Twins.txt,96320,
purple rain,agarwal,./data/agarwal2015_screenplays/fail/51e301bd1f7f8ee49901bbe9_Purple_Rain.txt,87957,
body heat,agarwal,./data/agarwal2015_screenplays/fail/51e301bd1f7f8ee49901bc1f_Body_Heat.txt,82089,
